"income","current.single","trump.single","current.married","trump.married","diff.single","diff.married","pctincome.single","pctincome.married"
6690000,2600958.064,2189664.81,2586271.414,2170047.81,-411293.254,-416223.604,0.100584259207265,0.101425714512397
6700000,2604918.064,2192964.81,2590231.414,2173347.81,-411953.254,-416883.604,0.100597072400067,0.101437245255152
6710000,2608878.064,2196264.81,2594191.414,2176647.81,-412613.254,-417543.604,0.100609847851156,0.101448742154891
6720000,2612838.064,2199564.81,2598151.414,2179947.81,-413273.254,-418203.604,0.100622585727041,0.101460205360392
6730000,2616798.064,2202864.81,2602111.414,2183247.81,-413933.254,-418863.604,0.100635286193252,0.10147163501956
6740000,2620758.064,2206164.81,2606071.414,2186547.81,-414593.254,-419523.604,0.100647949414351,0.101483031279438
6750000,2624718.064,2209464.81,2610031.414,2189847.81,-415253.254,-420183.604,0.100660575553932,0.101494394286208
6760000,2628678.064,2212764.81,2613991.414,2193147.81,-415913.254,-420843.604,0.100673164774637,0.101505724185203
6770000,2632638.064,2216064.81,2617951.414,2196447.81,-416573.254,-421503.604,0.100685717238155,0.101517021120908
6780000,2636598.064,2219364.81,2621911.414,2199747.81,-417233.254,-422163.604,0.100698233105233,0.101528285236971
6790000,2640558.064,2222664.81,2625871.414,2203047.81,-417893.254,-422823.604,0.100710712535682,0.101539516676203
6800000,2644518.064,2225964.81,2629831.414,2206347.81,-418553.254,-423483.604,0.100723155688385,0.101550715580591
6810000,2648478.064,2229264.81,2633791.414,2209647.81,-419213.254,-424143.604,0.100735562721302,0.101561882091298
6820000,2652438.064,2232564.81,2637751.414,2212947.81,-419873.254,-424803.604,0.100747933791475,0.101573016348675
6830000,2656398.064,2235864.81,2641711.414,2216247.81,-420533.254,-425463.604,0.100760269055041,0.101584118492259
6840000,2660358.064,2239164.81,2645671.414,2219547.81,-421193.254,-426123.604,0.100772568667231,0.101595188660786
6850000,2664318.064,2242464.81,2649631.414,2222847.81,-421853.254,-426783.604,0.100784832782383,0.101606226992195
6860000,2668278.064,2245764.81,2653591.414,2226147.81,-422513.254,-427443.604,0.100797061553942,0.101617233623629
6870000,2672238.064,2249064.81,2657551.414,2229447.81,-423173.254,-428103.604,0.100809255134472,0.101628208691447
6880000,2676198.064,2252364.81,2661511.414,2232747.81,-423833.254,-428763.604,0.100821413675661,0.101639152331228
6890000,2680158.064,2255664.81,2665471.414,2236047.81,-424493.254,-429423.604,0.100833537328324,0.101650064677773
6900000,2684118.064,2258964.81,2669431.414,2239347.81,-425153.254,-430083.604,0.100845626242414,0.101660945865114
6910000,2688078.064,2262264.81,2673391.414,2242647.81,-425813.254,-430743.604,0.100857680567024,0.101671796026521
6920000,2692038.064,2265564.81,2677351.414,2245947.81,-426473.254,-431403.604,0.100869700450397,0.101682615294502
6930000,2695998.064,2268864.81,2681311.414,2249247.81,-427133.254,-432063.604,0.100881686039928,0.101693403800812
6940000,2699958.064,2272164.81,2685271.414,2252547.81,-427793.254,-432723.604,0.100893637482174,0.10170416167646
6950000,2703918.064,2275464.81,2689231.414,2255847.81,-428453.254,-433383.604,0.100905554922857,0.10171488905171
6960000,2707878.064,2278764.81,2693191.414,2259147.81,-429113.254,-434043.604,0.100917438506872,0.101725586056088
6970000,2711838.064,2282064.81,2697151.414,2262447.81,-429773.254,-434703.604,0.10092928837829,0.101736252818391
6980000,2715798.064,2285364.81,2701111.414,2265747.81,-430433.254,-435363.604,0.100941104680367,0.101746889466684
6990000,2719758.064,2288664.81,2705071.414,2269047.81,-431093.254,-436023.604,0.10095288755555,0.101757496128315
7000000,2723718.064,2291964.81,2709031.414,2272347.81,-431753.254,-436683.604,0.100964637145478,0.10176807292991
7010000,2727678.064,2295264.81,2712991.414,2275647.81,-432413.254,-437343.604,0.100976353590993,0.101778619997386
7020000,2731638.064,2298564.81,2716951.414,2278947.81,-433073.254,-438003.604,0.100988037032143,0.101789137455953
7030000,2735598.064,2301864.81,2720911.414,2282247.81,-433733.254,-438663.604,0.100999687608189,0.101799625430119
7040000,2739558.064,2305164.81,2724871.414,2285547.81,-434393.254,-439323.604,0.101011305457607,0.101810084043692
7050000,2743518.064,2308464.81,2728831.414,2288847.81,-435053.254,-439983.604,0.1010228907181,0.101820513419793
7060000,2747478.064,2311764.81,2732791.414,2292147.81,-435713.254,-440643.604,0.101034443526596,0.10183091368085
7070000,2751438.064,2315064.81,2736751.414,2295447.81,-436373.254,-441303.604,0.10104596401926,0.101841284948613
7080000,2755398.064,2318364.81,2740711.414,2298747.81,-437033.254,-441963.604,0.101057452331493,0.101851627344151
7090000,2759358.064,2321664.81,2744671.414,2302047.81,-437693.254,-442623.604,0.101068908597942,0.101861940987862
7100000,2763318.064,2324964.81,2748631.414,2305347.81,-438353.254,-443283.604,0.101080332952506,0.101872225999473
7110000,2767278.064,2328264.81,2752591.414,2308647.81,-439013.254,-443943.604,0.101091725528337,0.10188248249805
7120000,2771238.064,2331564.81,2756551.414,2311947.81,-439673.254,-444603.604,0.101103086457847,0.101892710601999
7130000,2775198.064,2334864.81,2760511.414,2315247.81,-440333.254,-445263.604,0.101114415872713,0.10190291042907
7140000,2779158.064,2338164.81,2764471.414,2318547.81,-440993.254,-445923.604,0.101125713903885,0.101913082096363
7150000,2783118.064,2341464.81,2768431.414,2321847.81,-441653.254,-446583.604,0.101136980681586,0.101923225720333
7160000,2787078.064,2344764.81,2772391.414,2325147.81,-442313.254,-447243.604,0.101148216335321,0.101933341416795
7170000,2791038.064,2348064.81,2776351.414,2328447.81,-442973.254,-447903.604,0.10115942099388,0.101943429300925
7180000,2794998.064,2351364.81,2780311.414,2331747.81,-443633.254,-448563.604,0.101170594785343,0.101953489487267
7190000,2798958.064,2354664.81,2784271.414,2335047.81,-444293.254,-449223.604,0.101181737837085,0.101963522089738
7200000,2802918.064,2357964.81,2788231.414,2338347.81,-444953.254,-449883.604,0.101192850275783,0.101973527221629
7210000,2806878.064,2361264.81,2792191.414,2341647.81,-445613.254,-450543.604,0.101203932227418,0.101983504995615
7220000,2810838.064,2364564.81,2796151.414,2344947.81,-446273.254,-451203.604,0.101214983817278,0.101993455523751
7230000,2814798.064,2367864.81,2800111.414,2348247.81,-446933.254,-451863.604,0.101226005169971,0.102003378917485
7240000,2818758.064,2371164.81,2804071.414,2351547.81,-447593.254,-452523.604,0.101236996409418,0.102013275287656
7250000,2822718.064,2374464.81,2808031.414,2354847.81,-448253.254,-453183.604,0.101247957658868,0.1020231447445
7260000,2826678.064,2377764.81,2811991.414,2358147.81,-448913.254,-453843.604,0.101258889040897,0.102032987397655
7270000,2830638.064,2381064.81,2815951.414,2361447.81,-449573.254,-454503.604,0.101269790677414,0.102042803356164
7280000,2834598.064,2384364.81,2819911.414,2364747.81,-450233.254,-455163.604,0.101280662689665,0.10205259272848
7290000,2838558.064,2387664.81,2823871.414,2368047.81,-450893.254,-455823.604,0.101291505198238,0.102062355622467
7300000,2842518.064,2390964.81,2827831.414,2371347.81,-451553.254,-456483.604,0.101302318323069,0.10207209214541
7310000,2846478.064,2394264.81,2831791.414,2374647.81,-452213.254,-457143.604,0.101313102183441,0.102081802404012
7320000,2850438.064,2397564.81,2835751.414,2377947.81,-452873.254,-457803.604,0.101323856897997,0.102091486504401
7330000,2854398.064,2400864.81,2839711.414,2381247.81,-453533.254,-458463.604,0.101334582584737,0.102101144552138
