"pctile_round","pct_cat","hhinc","medinc","current","trump","tax_diff","pct_tax_diff","tax_diff_total","inc_round"
65,"(64,65]",81535.0530846485,81571,10329.3500860832,8653.70913055954,-1675.64095552367,0.0235324567050417,-3034864.69816116,82000
66,"(65,66]",83614.0489208633,83673,10724.359294964,9011.29641438849,-1713.06288057554,0.0235021887387946,-3102642.03369522,84000
67,"(66,67]",85544.2633093525,85432,11091.100028777,9343.29328920863,-1747.80673956834,0.0234752953951366,-3165568.94580463,85000
68,"(67,68]",87835.8198847262,87967,11526.495778098,9737.44102017291,-1789.05475792507,0.0234448399639708,-3240275.97320646,88000
69,"(68,69]",89901.2834532374,90001,11918.9338561151,10092.7007539568,-1826.23310215827,0.0234185681818564,-3307612.14333138,90000
70,"(69,70]",91873.6147186147,91980,12293.6767965368,10431.9417316017,-1861.73506493506,0.0233945867878947,-3371912.10758777,92000
71,"(70,71]",94317.4497126437,94375.5,12758.0054454023,10852.2813505747,-1905.72409482759,0.0233661295961567,-3451583.56315054,94000
72,"(71,72]",96509.0147058823,96450,13190.5130588235,11229.2305294118,-1961.28252941177,0.0235379880032233,-3552209.13645657,96000
73,"(72,73]",99204.9053672316,99243,13842.6763418079,11692.9237231638,-2149.75261864407,0.0251806589965137,-3893559.84084517,99000
74,"(73,74]",100969.82183908,101000,14283.9054597701,11996.4893563218,-2287.41610344828,0.0263846878400345,-4142891.32733153,101000
75,"(74,75]",103455.259090909,103395,14919.6609545455,12423.9732,-2495.68775454545,0.0281847350318262,-4520105.95643149,103000
76,"(75,76]",106003.537826685,106003,15587.2649105915,12940.2300687758,-2647.03484181568,0.0292765562772664,-4794220.72476047,106000
77,"(76,77]",108872.099137931,109000,16338.8279741379,13657.3047844828,-2681.52318965517,0.0289796266809568,-4856684.86363875,109000
78,"(77,78]",111433.4643377,111413,17009.9056564774,14297.646084425,-2712.2595720524,0.0287249363724354,-4912353.56854778,111000
79,"(78,79]",114474.319884726,114531.5,17806.6098097983,15057.8599711816,-2748.74983861671,0.0284355527473366,-4978443.51547673,115000
80,"(79,80]",117718.674253201,117762,18656.6306543386,15868.9485633001,-2787.68209103841,0.0281416210182527,-5048956.3052871,118000
81,"(80,81]",120880.176978417,120675,19484.9443683453,16659.3242446043,-2825.62012374101,0.0278677831913679,-5117668.39768808,121000
82,"(81,82]",124245.104046243,124258,20366.4515144509,17502.4967283237,-2863.95478612717,0.0275708677444992,-5187098.85246909,124000
83,"(82,83]",127819.154624277,127801,21302.8445115607,18480.9496040462,-2821.89490751445,0.0264965603738121,-5110921.41100115,128000
84,"(83,84]",131811.15,131814.5,22348.7473,19606.6923,-2742.055,0.0250543828655191,-4966318.04831697,132000
85,"(84,85]",136270.109510086,136048,23516.9946916427,20864.1188818444,-2652.87580979827,0.0235317420671894,-4804799.69006626,136000
86,"(85,86]",140931.582733813,140657,24738.300676259,22178.6543309353,-2559.64634532374,0.02203255217362,-4635945.61089762,141000
87,"(86,87]",146116.414985591,146005,26096.7267262248,23640.7770259366,-2455.94970028818,0.0204669751805241,-4448133.72536286,146000
88,"(87,88]",150759.50647482,150473,27313.2166964029,24950.1288258993,-2363.0878705036,0.0191446050973506,-4279945.49381428,150000
89,"(88,89]",156018.33573487,155900.5,28691.029962536,26433.1186772334,-2257.91128530259,0.0177375149211423,-4089453.19028861,156000
90,"(89,90]",162126.581294964,162000,30291.3902992806,28155.6439251799,-2135.74637410072,0.0162052732909028,-3868192.2004934,162000
91,"(90,91]",169557.096402878,170000,32238.185257554,30251.0491856115,-1987.13607194244,0.0144771977989723,-3599034.20556825,170000
92,"(91,92]",177951.208933718,178000,34512.0701786744,32618.1889193084,-1893.88125936599,0.0132060303832562,-3430134.21676757,178000
93,"(92,93]",187637.171223022,187534,37224.065942446,35349.493018705,-1874.57292374101,0.0124661823959012,-3395163.60687925,188000
94,"(93,94]",199486.793948127,200003.5,40550.5173487032,38691.0626714697,-1859.45467723343,0.0117014777322163,-3367781.94586607,200000
95,"(94,95]",213340.014388489,213481,44647.5303165468,42597.550057554,-2049.98025899281,0.0121465658142153,-3712855.48937912,213000
96,"(95,96]",233275.481268012,233000,50628.1703804035,48219.3517175793,-2408.81866282421,0.0131794316485962,-4362771.57106864,233000
97,"(96,97]",259493.867625899,259020,58700.207323741,55914.2765956835,-2785.93072805755,0.0138792762020002,-5045784.29539636,259000
98,"(97,98]",302954.687769784,300647,72998.7069640288,70170.3169640288,-2828.39,0.0123288721443045,-5122685.10466757,301000
99,"(98,99]",410834.085014409,400077.5,109305.515447839,105770.356002882,-3535.15944495677,0.0114802721634117,-6402762.21854303,400000
100,"(99,100]",913449.267241379,892796,304631.983827586,271632.868189655,-32999.115637931,0.0496450499614406,-59766891.4632112,893000
